Taxon,Scientific name,Parent,PICount
112509,Hordeum vulgare subsp. vulgare,4513,1
118690,Nicotiana cavicola,4085,1
118701,Nicotiana linearis,4085,1
118703,Nicotiana megalosiphon,4085,1
118704,Nicotiana miersii,4085,1
118709,Nicotiana simulans,4085,1
118712,Nicotiana umbratica,4085,1
128810,Saccharum hybrid cultivar,286192,2
131158,Saccharum hybrid cultivar R570,128810,2
131221,Streptophytina,35493,415
131567,cellular organisms,,415
132261,Cuscuta campestris,1824901,4
147367,Oryzoideae,359160,13
147368,Pooideae,359160,11
147369,Panicoideae,147370,22
147370,PACMAD clade,4479,25
147371,Chloridoideae,147370,3
147380,Oryzeae,147367,13
147385,Brachypodieae,147368,2
147389,Triticeae,1648038,9
147428,Paniceae,1648036,15
147429,Andropogoneae,1648033,7
147436,Eragrostideae,147371,3
157652,Mucuna pruriens,40336,1
158329,Apostasioideae,4747,1
158332,Epidendroideae,4747,1
158393,Malaxideae,158332,1
158406,Dendrobiinae,158393,1
161620,Dichanthelium,1648011,4
163722,Cicereae,2233839,1
163725,Dalbergieae,2231387,4
163729,Genisteae,2231385,1
163735,Phaseoleae,2233855,1
163742,Trifolieae,2233839,2
169618,Ixoroideae,24966,6
169640,Coffeeae,1968428,6
171637,Amygdaloideae,3745,7
171638,Rosoideae,3745,5
172790,Solanum phureja,4107,1
180498,Jatropha curcas,3995,1
180675,Salvia splendens,2026556,1
192258,Genlisea,4196,2
192259,Genlisea aurea,192258,2
200300,Nicotiana spegazzinii,4085,1
200301,Nicotiana corymbosa,4085,1
200306,Nicotiana occidentalis subsp. hesperis,200313,1
200313,Nicotiana occidentalis,4085,1
200315,Nicotiana pauciflora,4085,1
200316,Nicotiana obtusifolia,4085,2
200361,Aegilops tauschii subsp. strangulata,37682,2
206008,Panicum hallii,2100772,5
214597,Didymocarpoideae,26122,1
214607,Trichosporeae,214597,1
216706,Nepetoideae,4136,1
216718,Mentheae,216706,1
235629,Acalyphoideae,3977,1
235631,Crotonoideae,3977,3
235880,Acalypheae,235629,1
235883,Manihoteae,235631,2
235887,Jatropheae,235631,1
238069,Saliceae,3688,2
241778,Apioideae,4037,1
241789,Scandiceae,241778,1
241799,Daucinae,241789,1
267555,Cuscuta australis,1824901,4
278839,Nicotiana quadrivalvis,4085,1
286192,Saccharum officinarum complex,4546,2
290573,Noccaea,1394505,4
292919,Cuscuteae,4118,8
359160,BOP clade,4479,24
364270,Apiineae,4036,1
403667,Vitales,91834,3
424551,Solanoideae,4070,212
424554,Nicotianoideae,4070,65
424562,Nicotianeae,424554,65
424564,Capsiceae,424551,123
424566,Hyoscyameae,424551,1
424574,Solaneae,424551,88
426106,Oleeae,4144,1
429701,Handroanthus impetiginosus,1288022,3
472368,Dorcoceras hygrometricum,1803640,1
542762,Camellia sinensis var. sinensis,4442,1
721805,Amygdaleae,171637,7
751752,Eragrostidinae,147436,3
888268,Dichanthelium oligosanthes,161620,4
906689,Dendrobium catenatum,37818,1
980083,Camelineae,3700,4
981071,Brassiceae,3700,5
981085,Morus notabilis,3497,1
1088818,Apostasia shenzhenica,49693,1
1176516,Rosoideae unplaced,171638,5
1288022,Handroanthus,1312865,3
1293361,Cenchrinae,147428,3
1293365,Panicinae,147428,8
1307775,Anserineae,1307796,1
1307796,Chenopodioideae,1804623,1
1312864,Crescentiina,24079,3
1312865,Tabebuia alliance,1312864,3
1394505,Coluteocarpeae,3700,4
1437183,Mesangiospermae,3398,408
1437197,Petrosaviidae,4447,55
1437201,Pentapetalae,91827,353
1478967,Loxocarpinae,214607,1
1502711,Erythranthe,41399,1
1504633,Panicum hallii var. hallii,206008,4
1521260,Lycopodiopsida,58023,7
1648011,Dichantheliinae,147428,4
1648017,Hordeinae,147389,1
1648021,Oryzinae,147380,13
1648026,Saccharinae,147429,2
1648028,Sorghinae,147429,3
1648029,Tripsacinae,147429,2
1648030,Triticinae,147389,8
1648033,Andropogonodae,147369,7
1648036,Panicodae,147369,15
1648038,Triticodae,147368,9
1699513,Myrtoideae,3931,1
1699524,Eucalypteae,1699513,1
1803640,Dorcoceras,1478967,1
1804623,Chenopodiaceae,3524,1
1824618,Grammica,4128,8
1824901,Cuscuta sect. Cleistogrammica,1824618,8
1873447,Daucus sect. Daucus,4038,1
1909378,Bromelioideae,4613,3
1968428,Bertiereae - Coffeeae clade,1968429,6
1968429,Gardenieae complex,169618,6
2026555,Calosphace,21880,1
2026556,core Calosphace,2026555,1
2094558,Prunus yedoensis var. nudiflora,3759,1
2100772,Panicum sect. Panicum,4539,5
2231382,NPAAA clade,2231393,4
2231384,genistoids sensu lato,2231393,1
2231385,core genistoids,2231384,1
2231387,dalbergioids sensu lato,2231393,4
2231390,Pterocarpus clade,163725,4
2231393,50 kb inversion clade,3814,9
2233838,Hologalegina,2231382,3
2233839,IRL clade,2233838,3
2233855,indigoferoid/millettioid clade,2231382,1
2304100,Viteae,3602,3
